,Identifiant,Quantite2003,Nom_Etablissement_x,LLX,LLY,Quantite2004,Quantite2005,Quantite2006,Quantite2007,Quantite2008,Quantite2009,Quantite2010,Quantite2011,Quantite2012,Quantite2013,Quantite2014,Quantite2015,Quantite2016,Quantite2017
2386,66.01697,0,EVOLIA,4.356716343704659,43.839953758192436,1820.0,3670.0,4130.0,3520.0,3520.0,3500.0,3490.0,3740.0,3560.0,3720.0,4080.0,3940.0,4050.0,3850.0
2387,67.00355,0,SPRENGER Traitement de Surfaces,7.753999333953012,48.57549782243622,79.80000000000001,41.92,47.120000000000005,50.796,85.30000000000001,0,0,0,0,0,0,0,0,0
2388,67.00357,0,Société Nouvelle Sotralentz Packaging,7.187456206892435,48.86652535594369,42.02,67.32900000000001,151.297,57.184000000000005,77.87399999999998,52.69700000000001,9.01,12.014,10.43,8.105,4.936,6.9079999999999995,8.261,9.0
2389,67.00359,0,SOMETA,7.085619677654728,48.93952748586372,98.26,0,0,0,0,0,0,0,0,0,0,0,0,0
2390,67.00372,0,SEW - USOCOME,7.790885797109675,48.821881199478675,983.0200000000001,950.2,841.1999999999999,1083.3799999999999,1128.7800000000002,859.43,1007.17,1239.62,974.76,972.1600000000001,995.82,1033.214,993.01,1040.15
2391,67.00373,0,SETE,7.753999333953012,48.57549782243622,0.5,0,0,0,0,2.6990000000000003,3.9400000000000004,23.622,3.932,9.658,0,3.8390000000000004,14.064000000000002,5.401
2392,67.00376999999999,0,PENTAIR TECHNICAL SOLUTIONS,7.901506507297192,48.8990500703475,14.414,29.867999999999995,38.382,0,21.75,11.33,13.741,15.45,10.924,4.118,11.373,5.0440000000000005,13.97,2.22
2393,67.00386,0,Centre de Valorisation Energetique de COLMAR,7.364650980019338,48.07056286030809,3590.0,3680.0,3420.0,3060.0,3062.0,3250.0,0,16441.0,16536.0,15553.0,15527.0,14925.0,14530.0,14110.0
2394,67.00401,0,ADIENT,7.753999333953012,48.57549782243622,177.76,136.89000000000001,177.45,74.11499999999998,43.395,38.705999999999996,96.96799999999999,67.54599999999999,74.659,91.3177,49.903,61.39699999999999,36.18299999999999,61.88
2395,67.00416,0,ECS (ELEVATOR CAR SYSTEM),7.346196339009674,47.77900926439247,40.410000000000004,33.5,84.758,43.999,61.72,55.781000000000006,48.573,52.273,31.336700000000004,0,0,0,0,0
2396,67.00417,0,électropoli France Site de Dettwiller,7.3585499474995695,48.74160793237526,561.5419999999999,538.0699999999999,712.7,934.4,965.39,672.67,1065.6499999999999,930.3,1124.52,924.8,696.84,1123.21,7481.812999999999,0
2397,67.00421,0,DuPont de Nemours,7.17633216488648,47.80932137749268,6756.0,7277.0,6673.0,8037.0,6925.0,6359.0,7484.8,7441.920000000001,9936.099999999999,9705.081999999999,8858.37,8061.965,19795.153,10666.482
2398,67.00421999999999,0,Dow AgroSciences,7.951836757938094,48.76442862585279,3784.0,3572.0,4019.0,3759.0,3604.5,3950.21,4147.1,4434.840999999999,6278.2699999999995,7094.650999999999,7347.33,7053.188,7260.76,5704.299999999999
2399,67.00423,0,MARS Chocolat France,7.411635769863739,48.77061292009757,3.5999999999999996,17.083,18.3,0,0,0,0,0,0,0,8.030000000000001,7.640000000000001,16.14,9.379999999999999
2400,67.00426,0,DOW FRANCE S.A.S.,8.180876856716798,48.97573975138553,4373.5,3311.0,4005.0,3415.0,2994.4199999999996,2761.2100000000005,3044.915,2204.9500000000003,2420.207,955.4540000000001,919.0140000000001,750.2000000000002,1316.54,789.5000000000001
2401,67.00428000000001,0,CENPA SAS,7.736001114865121,48.82138716906127,2.92,0,0,0,0,5.036,5.076,19.7874,10.905999999999999,11.646799999999999,12.969999999999999,12.864999999999998,4.901999999999999,9.5686
2402,67.00429,0,DSM Nutritional Products France,7.571099255992347,47.60596290137667,1989.882,2299.37,2163.8900000000003,2098.031,3021.2690000000002,2693.77,3200.11,3473.7249999999976,4598.425000000001,4384.736999999999,3707.165,4125.836000000001,4964.034999999999,5005.303000000001
2403,67.00431999999999,0,RHENAROLL - Site de Biesheim,7.52733740642282,48.01713401188037,52.0,67.0,74.7,50.0,89.02,56.62,49.67600000000001,95.3,72.17,87.66999999999999,83.7,78.72,80.36,8.4
2404,67.00433000000001,0,Potasse et Produits Chimiques SAS,7.10279473997415,47.809486594659596,2312.466,3333.99,3047.0350000000003,1183.4800000000002,2339.8340000000003,2919.5089999999996,2207.6819999999993,2368.754,2726.2899999999995,3227.9230000000002,4311.887000000001,2298.2509999999993,2225.33,2625.7679999999996
2405,67.0045,0,SOCIETE EUROPEENNE DE STOCKAGE,7.753999333953012,48.57549782243622,10.0,0,0,0,0,21.0,21.6,13.5,57.4,5.34,114.0,5.52,0,26.619999999999997
2406,67.00452,0,DMC SAS,7.3450635541406015,47.74175719546459,3.1999999999999997,0,0,0,0,0,0.1,0,0,2.7,5.446,2.2190000000000003,4.315,3.133
